Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;BA;ALAGOINHAS;CPD ENERGETICOS E DERIVADOS DE PETROLEO LTDA.; 08.359.486/0001-60;RODOVIA BR 101, KM 110,5;S/N;;ZONA RURAL;48010-970;GASOLINA ADITIVADA;09/07/2026;6,89;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;POSTO TROPICAL DE COMBUSTIVEIS LTDA; 04.218.516/0001-68;RUA PAULO AFONSO;420;;PRACA KENNEDY;48020-650;GASOLINA ADITIVADA;09/07/2026;6,86;;R$ / litro;BRANCA
NE;BA;ALAGOINHAS;POSTO ESTRELA DA 101 LTDA; 74.008.566/0001-04;RODOVIA MARGEM BR 101;SN;KM 108;POSTO;48010-970;GASOLINA ADITIVADA;09/07/2026;6,95;;R$ / litro;VIBRA
NE;BA;ALAGOINHAS;DALILA DERIVADOS DE PETROLEO LTDA; 03.990.964/0001-12;RUA CONSELHEIRO JUNQUEIRA;SN;;CENTRO;48090-021;GASOLINA ADITIVADA;09/07/2026;6,73;;R$ / litro;PETROBAHIA
NE;BA;ILHEUS;CHECON DANTAS COMERCIO DE COMBUSTIVEIS LTDA; 09.166.195/0001-19;AVENIDA ITABUNA;534;;CENTRO;45653-160;GASOLINA ADITIVADA;06/07/2026;7,44;;R$ / litro;RAIZEN
NE;BA;ILHEUS;POSTO DE SERVICOS DOM EDUARDO LTDA.; 13.631.353/0001-31;AVENIDA ITABUNA;1814;MODULOS A E B;BASILIO;45658-565;GASOLINA ADITIVADA;06/07/2026;7,14;;R$ / litro;BRANCA
NE;BA;ILHEUS;DERIVADOS DE PETROLEO LELEU LTDA; 13.497.953/0001-59;AVENIDA ITABUNA;2282;;CENTRO;45653-160;GASOLINA ADITIVADA;06/07/2026;7,14;;R$ / litro;IPIRANGA
NE;BA;ILHEUS;COMERCIAL SAVOIA LTDA; 02.366.787/0001-35;AVENIDA RAYMUNDO SA BARRETO;S/N;LOTES 26 27 E 28;JARDIM SAVOIA;45658-250;GASOLINA ADITIVADA;09/07/2026;7,14;;R$ / litro;BRANCA
NE;BA;ILHEUS;AM DERIVADOS DE PETROLEO E COMERCIO LTDA; 00.175.819/0001-90;AVENIDA PETROBRAS;100;TERREO;CENTRO;45652-155;GASOLINA ADITIVADA;06/07/2026;7,24;;R$ / litro;IPIRANGA
NE;BA;IRECE;POSTO QUATRO RODAS LTDA; 02.336.040/0001-34;AVENIDA PRIMEIRO  DE JANEIRO;61;LOTE 07, QUADRA   C;JARDIM LIBORIO;44900-000;GASOLINA ADITIVADA;09/07/2026;7,13;;R$ / litro;VIBRA
NE;BA;ITAMARAJU;BENTIVI DERIVADOS DE PETROLEO LTDA; 13.683.818/0001-06;RODOVIA BR 101;S/N;KM 808;SEDE;45836-000;GASOLINA ADITIVADA;07/07/2026;7,38;;R$ / litro;IPIRANGA
NE;BA;JACOBINA;RAQUEL DERIVADOS DE PETROLEO LTDA; 04.287.217/0001-85;ESTRADA JACOBINA MIGUEL CALMON;SN;;CATUABA;44700-000;GASOLINA ADITIVADA;06/07/2026;7,08;;R$ / litro;IPIRANGA
NE;BA;JACOBINA;PARENTES REVENDA DE PRODUTOS DE PETROLEO LTDA.; 05.481.141/0001-97;AVENIDA CENTENARIO;1600;;NAZARE;44700-000;GASOLINA ADITIVADA;06/07/2026;6,95;;R$ / litro;BRANCA
NE;BA;JACOBINA;TROPICAL COMBUSTIVEIS E LUBRIFICANTES LTDA; 07.856.330/0001-22;RUA FRANCISCO ROCHA PIRES;300;;CENTRO;44700-000;GASOLINA ADITIVADA;07/07/2026;7,09;;R$ / litro;BRANCA
NE;BA;JEQUIE;D & M COMERCIAL LTDA; 03.550.965/0001-46;AVENIDA JOAO GOULART;65;;CENTRO;45200-070;GASOLINA ADITIVADA;07/07/2026;7,19;;R$ / litro;RAIZEN
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;GASOLINA ADITIVADA;07/07/2026;7,05;;R$ / litro;IPIRANGA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;GASOLINA ADITIVADA;07/07/2026;7,19;;R$ / litro;VIBRA
NE;BA;JEQUIE;PITU COMERCIO DE DERIVADOS DE PETROLEO LTDA; 02.891.624/0001-71;AVENIDA GOVERNADOR LOMANTO JUNIOR;220;;CENTRO;45202-130;GASOLINA ADITIVADA;07/07/2026;6,62;;R$ / litro;BRANCA
NE;BA;POCOES;POSTO NOSSA SENHORA APARECIDA LTDA; 07.930.629/0001-80;AVENIDA VITORIA DA CONQUISTA;1580;;SAO PAULO;45260-000;GASOLINA ADITIVADA;08/07/2026;6,95;;R$ / litro;BRANCA
NE;BA;POCOES;AUTO POSTO REFORCO LTDA; 13.315.486/0001-07;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;754;RODOVIA BR 116      KM    758;TIRADENTES;45264-580;GASOLINA ADITIVADA;08/07/2026;7,05;;R$ / litro;VIBRA
NE;BA;PORTO SEGURO;AUTO POSTO NAVEGANTES LTDA; 07.200.913/0001-09;AVENIDA AVENIDA DOS NAVEGANTES;311;;CENTRO;45810-000;GASOLINA ADITIVADA;07/07/2026;7,19;;R$ / litro;BRANCA
NE;BA;PORTO SEGURO;PORTAL POSTO DE COMBUSTIVEIS LTDA; 07.064.096/0001-09;AVENIDA ADNO MUSSER;3600;TERREO;CAMBOLO;45810-000;GASOLINA ADITIVADA;07/07/2026;7,39;;R$ / litro;VIBRA
NE;BA;PORTO SEGURO;SULBAHIA COMBUSTIVEIS LTDA; 05.841.787/0001-38;AVENIDA ADNO MUSSER;3200;;MIRANTE CARAVELAS;45810-000;GASOLINA ADITIVADA;07/07/2026;7,55;;R$ / litro;RAIZEN
NE;BA;PORTO SEGURO;LESTE DERIVADOS DE PETROLEO LTDA; 01.700.901/0001-59;AVENIDA ADNO MUSSER;1960;LOT PARQUE RESIDENCIAL TABAPIRI;TABAPIRI;45810-000;GASOLINA ADITIVADA;07/07/2026;7,55;;R$ / litro;RAIZEN
NE;BA;SALVADOR;FLAMINGO COMERCIO DE COMBUSTIVEIS LUBRIFICANTES E SERVICOS LTDA; 08.750.716/0001-18;AVENIDA PROFESSOR MANOEL RIBEIRO;861;LOTE  1                   QUADRAC                         PARQUE DA LAGOA;STIEP;41770-095;GASOLINA ADITIVADA;06/07/2026;7,14;;R$ / litro;VIBRA
NE;BA;SALVADOR;ECOPOSTOS - COMBUSTIVEIS E SERVICOS LTDA; 04.420.464/0004-50;AVENIDA BARROS REIS - LADO PAR;2938;ARRAIAL DO RETIRO;ARRAIAL DO RETIRO;41204-025;GASOLINA ADITIVADA;06/07/2026;6,89;;R$ / litro;VIBRA
NE;BA;SALVADOR;ECOPOSTOS - COMBUSTIVEIS E SERVICOS LTDA; 04.420.464/0003-70;AVENIDA PROFESSOR PINTO DE AGUIAR;650;;PITUACU;41740-090;GASOLINA ADITIVADA;07/07/2026;7,39;;R$ / litro;VIBRA
NE;BA;SALVADOR;PACIFICO COMERCIO E SERVICOS DE COMBUSTIVEIS LTDA; 06.948.623/0001-77;AVENIDA SANTA LUZIA;1137;;HORTO FLORESTAL;40295-050;GASOLINA ADITIVADA;06/07/2026;7,69;;R$ / litro;VIBRA
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0004-21;AVENIDA AVENIDA OCTAVIO MANGABEIRA;S/N;JARDIM PLACAFORD;ITAPOAN;41612-040;GASOLINA ADITIVADA;07/07/2026;6,99;;R$ / litro;VIBRA
NE;BA;SALVADOR;GAS ON LINE COMERCIO E SERVICOS LTDA; 05.033.611/0001-50;AVENIDA HEITOR DIAS;735;;PAU MIUDO;40315-518;GASOLINA ADITIVADA;06/07/2026;6,99;;R$ / litro;LARCO
NE;BA;SALVADOR;AUTO POSTO BUDIÃO LTDA.; 13.635.461/0001-82;RUA DOUTOR AUGUSTO LOPES PONTES;167;;COSTA AZUL;41760-035;GASOLINA ADITIVADA;06/07/2026;7,10;;R$ / litro;RAIZEN
NE;BA;SALVADOR;J A SOBRAL & CIA LTDA; 13.799.101/0001-16;AVENIDA MARIO LEAL FERREIRA (S AC NORTE);509;TERREO;BROTAS;40285-600;GASOLINA ADITIVADA;06/07/2026;6,90;;R$ / litro;VIBRA
NE;BA;SALVADOR;HIPER POSTO CAMINHO DAS ARVORES LTDA; 34.276.766/0001-15;AVENIDA TANCREDO NEVES;1506;GLEBA 1;CAMINHO DAS ARVORES;41820-020;GASOLINA ADITIVADA;06/07/2026;7,10;;R$ / litro;RAIZEN
NE;BA;SALVADOR;POSTO CASAGRANDE LTDA; 05.125.819/0001-07;RUA FREDERICO COSTA;7;BOA VISTA DE BROTAS;BROTAS;40243-045;GASOLINA ADITIVADA;06/07/2026;6,70;;R$ / litro;BRANCA
NE;BA;SALVADOR;COMERCIAL DE COMBUSTIVEIS CIDADE JARDIM LTDA; 02.377.962/0001-90;AVENIDA JURACY MAGALHAES JUNIOR;2575;LOTEAMENTO                CIDADE JARDIM;HORTO FLORESTAL;40295-140;GASOLINA ADITIVADA;06/07/2026;7,05;;R$ / litro;VIBRA
NE;BA;SALVADOR;MEGA POSTO BERIMBAU LTDA; 01.855.960/0001-04;AVENIDA ANITA GARIBALDI;1651;;FEDERAÇÃO;40170-130;GASOLINA ADITIVADA;06/07/2026;7,09;;R$ / litro;VIBRA
NE;BA;SALVADOR;POSTO DE GASOLINA FELICI LTDA; 00.138.957/0001-07;AVENIDA PRESIDENTE CASTELO BRANCO;SN;;SAUDE;40045-050;GASOLINA ADITIVADA;06/07/2026;6,83;;R$ / litro;VIBRA
NE;BA;VALENCA;IDVALDO MONTEIRO & FILHOS LTDA; 03.867.369/0001-94;RUA DA AGUAZINHA;153;;CENTRO;45400-000;GASOLINA ADITIVADA;06/07/2026;7,28;;R$ / litro;LARCO
NE;BA;VALENCA;ORGANIZACAO GUAIBIM LTDA; 01.878.111/0001-68;AVENIDA ANTONIO C MAGALHAES;500;CASA;SAO FELIX;45400-000;GASOLINA ADITIVADA;06/07/2026;7,44;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO CAPITAL LTDA.; 08.978.109/0001-00;LOCALIDADE CNL 01 LOTE E;S/Nº;PLL 01;TAGUATINGA;72150-770;GASOLINA ADITIVADA;07/07/2026;6,27;;R$ / litro;RAIZEN
CO;DF;BRASILIA;G3 AUTO POSTO LTDA; 08.414.749/0001-97;QUADRA SHCN SUPERQUADRA 310;S/N;BLOCO B PLL 03;ASA NORTE;70756-520;GASOLINA ADITIVADA;07/07/2026;6,18;;R$ / litro;VIBRA
CO;DF;BRASILIA;AUTO POSTO DF 180 LTDA; 07.347.238/0001-37;QUADRA QN 433 CONJUNTO G LOTE;1;;SAMABAIA;72322-570;GASOLINA ADITIVADA;07/07/2026;6,17;;R$ / litro;VIBRA
CO;DF;BRASILIA;AUTO POSTO 314 NORTE LTDA - ME; 03.530.749/0001-39; SHCN SQ 314 BL B - PLL 03;S/N;;ASA NORTE;70767-500;GASOLINA ADITIVADA;07/07/2026;6,48;;R$ / litro;VIBRA
CO;DF;BRASILIA;AUTO POSTO SOF NORTE LTDA; 03.951.672/0001-70;SETOR DE OFICINA NORTE QUADRA 04 PLL;1;;ASA NORTE;70310-500;GASOLINA ADITIVADA;07/07/2026;6,54;;R$ / litro;RAIZEN
CO;DF;BRASILIA;AUTO POSTO JPC DERIVADOS DE PETROLEO LTDA; 07.129.219/0001-34;QUADRA 301 RUA A CONJUNTO 2;SN;"LOTE: 04;";NORTE (AGUAS CLARAS);71901-020;GASOLINA ADITIVADA;07/07/2026;5,99;;R$ / litro;BRANCA
CO;DF;BRASILIA;AUTO POSTO 109 NORTE LTDA; 05.849.569/0001-40; SHC / NORTE SQ 109;S/N;BLOCO  A  PAG;ASA NORTE;70752-500;GASOLINA ADITIVADA;07/07/2026;6,38;;R$ / litro;RAIZEN
CO;DF;BRASILIA;ROCHA COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA; 04.056.374/0001-80;QUADRA QN 502 CONJUNTO 21 LOTE;1;;SAMAMBAIA;72310-321;GASOLINA ADITIVADA;07/07/2026;6,07;;R$ / litro;BRANCA
CO;DF;BRASILIA;SMAFF COMBUSTIVEIS LTDA; 05.662.975/0001-07;SETOR TERMINAL NORTE CONJUNTO D BLOCO 01;S/N;POSTO DE COMBUSTIVEIS;ASA NORTE;70770-100;GASOLINA ADITIVADA;07/07/2026;6,19;;R$ / litro;BRANCA
CO;DF;BRASILIA;JADE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.156.523/0001-94; SHC/ NORTE SQ 410 BL A;S/N;PLL;ASA NORTE;70865-500;GASOLINA ADITIVADA;07/07/2026;6,79;;R$ / litro;VIBRA
CO;DF;BRASILIA;POSTO DE PETROLEO SAMAMBAIA LTDA; 04.429.562/0001-06; QS 122 CONJUNTO;1;LOTE 04;SAMAMBAIA;72310-108;GASOLINA ADITIVADA;07/07/2026;6,27;;R$ / litro;RAIZEN
CO;DF;BRASILIA;SAN REMO POSTO SERVICOS LTDA; 01.655.778/0005-25;AVENIDA ARAUCARIA LOTE;1395;;AGUAS CLARAS;70310-500;GASOLINA ADITIVADA;07/07/2026;6,49;;R$ / litro;VIBRA
CO;DF;BRASILIA;POSTO QNO 01 LTDA; 00.805.827/0001-72; QNO 01 PLL;S/N;;CEILANDIA NORTE;70310-500;GASOLINA ADITIVADA;07/07/2026;6,27;;R$ / litro;VIBRA
CO;DF;BRASILIA;AUTO POSTO CHAVES LTDA; 00.746.278/0001-02;RODOVIA BR 060;S/N;KM    13;RECANTO DAS EMAS;72600-100;GASOLINA ADITIVADA;07/07/2026;6,19;;R$ / litro;VIBRA
CO;DF;BRASILIA;POSTO CEILANDIA LTDA; 00.342.436/0001-69; CNM  02 LOTE A;S N;;CEILANDIA;72210-500;GASOLINA ADITIVADA;07/07/2026;6,07;;R$ / litro;BRANCA
CO;DF;BRASILIA;BRASAL COMBUSTIVEIS LTDA; 00.097.626/0006-72;QUADRA QI 416 CONJUNTO H LOTE;1 PLL;;SAMAMBAIA NORTE (SAMAMBAIA);72320-318;GASOLINA ADITIVADA;07/07/2026;6,47;;R$ / litro;BRANCA
CO;DF;BRASILIA;BRASAL COMBUSTIVEIS LTDA; 00.097.626/0001-68;SETOR SIA Quadra 2-C;S/N;LOTE  01;ZONA INDUSTRIAL (GUARA);71200-025;GASOLINA ADITIVADA;07/07/2026;7,09;;R$ / litro;RAIZEN
CO;GO;ANAPOLIS;AUTO POSTO CARRETEIRO LTDA; 03.879.004/0001-80;AVENIDA BRASIL NORTE;4801;;JARDIM DAS AMÉRICAS;75045-190;GASOLINA ADITIVADA;09/07/2026;6,99;;R$ / litro;VIBRA
CO;GO;ANAPOLIS;POSTO CENTRAL DE ANAPOLIS LTDA; 01.799.279/0001-88;PRACA AMERICANO DO BRASIL;17;;CENTRO;75024-090;GASOLINA ADITIVADA;09/07/2026;6,97;;R$ / litro;IPIRANGA
CO;GO;ANAPOLIS;POSTO SAO FRANCISCO LTDA; 25.080.920/0001-98;AVENIDA SAO FRANCISCO DE ASSIS;470;480;JUNDIAI;75110-810;GASOLINA ADITIVADA;09/07/2026;7,14;;R$ / litro;IPIRANGA
CO;GO;ANAPOLIS;AUTO POSTO PARQUE DAS NACOES LTDA; 02.796.544/0001-37;AVENIDA BUENO AIRES ESQUINA C/ ROD GO-222;280;;STR PARQUE DAS NACOE;75143-420;GASOLINA ADITIVADA;09/07/2026;6,89;;R$ / litro;BRANCA
CO;GO;ANAPOLIS;AFJ COMERCIO DE COMBUSTIVEIS LIMITADA; 03.096.501/0001-01;AVENIDA PRESIDENTE WILSON;123;;VILA INDUSTRIAL;75115-100;GASOLINA ADITIVADA;09/07/2026;7,09;;R$ / litro;VIBRA
CO;GO;ANAPOLIS;AUTO POSTO IPANEMA II LTDA; 01.703.149/0001-08;AVENIDA BRASIL;400;;ANDRACEL CENTER;75113-235;GASOLINA ADITIVADA;09/07/2026;7,09;;R$ / litro;IPIRANGA
CO;GO;APARECIDA DE GOIANIA;JM - COMERCIO DE LUBRIFICANTES LTDA; 05.608.441/0001-94;RUA MONTE CARMELO;SN;MODULO INDUSTRIAL 01 QD. 01;POLO EMPRESARIAL GOIAS;74983-160;GASOLINA ADITIVADA;07/07/2026;6,79;;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;COMERCIAL CLAMALU LTDA; 05.102.467/0001-66;AVENIDA 13 DE MAIO;S/N;QD.01 LT. 04;CARDOSO - II ETAPA;74934-050;GASOLINA ADITIVADA;07/07/2026;6,84;;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;GARAVELO AUTO POSTO LTDA; 02.170.231/0001-79;RODOVIA GO-040;SN;QUADRA70                  LOTE  6E;SETOR GARAVELO;74930-520;GASOLINA ADITIVADA;07/07/2026;6,92;;R$ / litro;VIBRA
CO;GO;APARECIDA DE GOIANIA;PETROLEO TAMBORIL COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 03.846.129/0001-03;AVENIDA INDEPENDENCIA;SN;QUADRA14                  LOTE  03E COMPL 03A05 E 28;RESIDENCIAL VILLAGE GARAVELO;74968-543;GASOLINA ADITIVADA;07/07/2026;6,84;;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;POSTO TITAN LTDA; 02.772.179/0001-20;AVENIDA W 3;SN;QUADRA65                  LOTE  AR01;SITIOS SANTA LUZIA;74922-480;GASOLINA ADITIVADA;07/07/2026;6,79;;R$ / litro;ALE
CO;GO;APARECIDA DE GOIANIA;L M COMERCIO DE DERIVADOS DE PETROLEO LTDA; 02.184.264/0001-78;AVENIDA JUSCELINO KUBITSCHEK;SN;QUADRA01                  LOTE  14/35 B;VILA MARIA;74919-420;GASOLINA ADITIVADA;07/07/2026;7,64;;R$ / litro;RAIZEN
CO;GO;APARECIDA DE GOIANIA;LAGOS DOURADOS COMERCIO DE PETROLEO LTDA; 01.562.684/0001-88;AVENIDA LIBERDADE;S/N;QD 70 LTS 112/113;ST GARAVELO;74930-550;GASOLINA ADITIVADA;07/07/2026;6,80;;R$ / litro;CIAPETRO
CO;GO;APARECIDA DE GOIANIA;POSTO SAMAMBAIA LTDA; 00.567.056/0001-22;RODOVIA BR-153;S/N;QUADRA034                 LOTE  0001                KM    1294;SETOR CENTRAL;74980-180;GASOLINA ADITIVADA;07/07/2026;6,65;;R$ / litro;VIBRA
CO;GO;CALDAS NOVAS;HOT PETRO AUTO POSTO LTDA; 04.499.302/0001-07;AREA RURAL - RODOVIA GO 213, PROXIMO AO POSTO POLICIAL;S/N;KM    55;AREA RURAL DE CALDAS NOVAS;75698-899;GASOLINA ADITIVADA;06/07/2026;6,82;;R$ / litro;VIBRA
CO;GO;CALDAS NOVAS;POSTO GALVAO BRASIL LTDA; 03.608.674/0001-61;AVENIDA ANTONIO SANCHES FERNANDES;34;QUADRA02                  LOTE  07-R;ESTANCIA ITAGUAI;75682-000;GASOLINA ADITIVADA;06/07/2026;6,99;;R$ / litro;VIBRA
CO;GO;CALDAS NOVAS;AUTO POSTO SANDE EIRELI; 03.388.667/0001-00;AVENIDA CEL BENTO DE GODOY;1995;QD 01 LT 21;JARDIM HANASHIRO;75690-000;GASOLINA ADITIVADA;06/07/2026;6,99;;R$ / litro;IPIRANGA
CO;GO;CALDAS NOVAS;AUTO POSTO DO TURISTA LTDA; 02.279.387/0001-92;RUA PEDRO BRANCO DE SOUZA;7;QUADRA11                  LOTE  06;CENTRO;75680-017;GASOLINA ADITIVADA;06/07/2026;6,95;;R$ / litro;IPIRANGA
CO;GO;CATALAO;AUTO POSTO NOGUEIRA LTDA; 02.172.567/0001-70;AVENIDA DR LAMARTINE P AVELAR;3230;;SETOR AEROPORTO;75704-260;GASOLINA ADITIVADA;09/07/2026;6,69;;R$ / litro;VIBRA
CO;GO;GOIANIA;POSTO RURAL DE GOIAS LTDA; 02.152.072/0001-80;RUA 44;570;0;SETOR NORTE FERROVIÁRIO;74063-300;GASOLINA ADITIVADA;06/07/2026;6,99;;R$ / litro;RAIZEN
CO;GO;GOIANIA;POSTO Z+Z 136 LTDA; 08.626.180/0001-23;AVENIDA 136;1477;QD F42A LT 16E;SETOR SUL;74093-250;GASOLINA ADITIVADA;06/07/2026;7,57;;R$ / litro;RAIZEN
CO;GO;GOIANIA;AUTO POSTO DO RATINHO LTDA; 08.568.997/0001-92;RUA 85;1049;QD F-25 LT 100-E;SETOR SUL;74093-300;GASOLINA ADITIVADA;06/07/2026;7,44;;R$ / litro;VIBRA
CO;GO;GOIANIA;POSTO CAPIM DOURADO LTDA; 07.374.346/0001-07;RODOVIA BR-153, KM 4;S/N;QD. C-26, LOTES 01A22;JARDIM GOIAS;74805-010;GASOLINA ADITIVADA;06/07/2026;6,89;;R$ / litro;BRANCA
CO;GO;GOIANIA;POSTO DIAMANTINA LTDA; 06.051.997/0001-95;AVENIDA PERIMETRAL NORTE;50;QD. 40  LTS. 09/12;CAPUAVA;74450-300;GASOLINA ADITIVADA;06/07/2026;6,89;;R$ / litro;BRANCA
CO;GO;GOIANIA;COMERCIAL DE COMBUSTIVEIS VILA RICA LTDA; 07.438.607/0001-05;AVENIDA INDEPENDENCIA;3107;QD 116 LT 30E;SETOR CENTRAL;74055-055;GASOLINA ADITIVADA;06/07/2026;6,84;;R$ / litro;IPIRANGA
CO;GO;GOIANIA;AUTO POSTO CLASSE A LTDA; 07.034.921/0001-14;AVENIDA T-9;1194;QD. 83 LT.14/16;SETOR BUENO;74215-020;GASOLINA ADITIVADA;06/07/2026;6,99;;R$ / litro;IPIRANGA
CO;GO;GOIANIA;EFAM COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 05.923.929/0001-06;AVENIDA PERIMETRAL NORTE;5145;;SETOR PERIM;74573-030;GASOLINA ADITIVADA;06/07/2026;6,99;;R$ / litro;VIBRA
CO;GO;GOIANIA;JUSTINIANO & JUSTINIANO LTDA; 04.489.287/0001-16;AVENIDA JOSE LEANDRO DA CRUZ;2;QUADRA 18, LOTE 01;PARQUE AMAZONIA;74840-390;GASOLINA ADITIVADA;06/07/2026;7,04;;R$ / litro;IPIRANGA
CO;GO;GOIANIA;AUTO POSTO ASTRO DA MUTIRAO LTDA; 04.081.151/0001-72;AVENIDA MUTIRAO;2730;;SETOR BUENO;74215-240;GASOLINA ADITIVADA;06/07/2026;7,24;;R$ / litro;RAIZEN
CO;GO;GOIANIA;VIENA AUTO POSTO EIRELI; 05.217.903/0001-42;AVENIDA RIO VERDE;4758;QUADRA76                  LOTE  01 02 E 10;VI ROSA;74843-660;GASOLINA ADITIVADA;06/07/2026;6,89;;R$ / litro;BRANCA
CO;GO;GOIANIA;POSTO MADRI LTDA; 04.710.930/0001-90;AVENIDA MADRID;501;QUADRA179                 LOTE  3-4 E 6;JARDIM EUROPA;74330-550;GASOLINA ADITIVADA;06/07/2026;7,19;;R$ / litro;VIBRA
CO;GO;GOIANIA;POSTO T-SETE LTDA; 01.135.714/0001-70;AVENIDA CASTELO BRANCO;385;QUADRAR29                 LOTE  1E;SETOR BUENO;74210-185;GASOLINA ADITIVADA;06/07/2026;6,99;;R$ / litro;RAIZEN
CO;GO;GOIANIA;PETROENGE COMERCIO DE COMBUSTIVEIS  E SERVICOS - EIRELI; 02.985.247/0001-30;AVENIDA T-4 ESQ. C/ T-12;123;QUADRA 124                LOTE  1/2;SETOR BUENO;74230-035;GASOLINA ADITIVADA;06/07/2026;7,24;;R$ / litro;VIBRA
CO;GO;GOIANIA;AUTO POSTO SANTA LUZIA LTDA; 04.142.631/0001-04;AVENIDA PROF VENERANDO DE FREITAS BORGES;77;;B SANTA GENOVEVA;74673-010;GASOLINA ADITIVADA;06/07/2026;6,84;;R$ / litro;IPIRANGA
CO;GO;GOIANIA;AUTO POSTO GEDDA AMENDOEIRAS LTDA; 03.918.676/0001-57;AVENIDA PAULO ALVES DA COSTA;725;QD. 10, LT 09;PQ. DAS AMENDOEIRAS;74780-500;GASOLINA ADITIVADA;06/07/2026;6,89;;R$ / litro;BRANCA
CO;GO;GOIANIA;AUTO POSTO WATANABE LTDA; 02.531.610/0001-47;AVENIDA OLINDA;735;QUADRA08                  LOTE  10/11;JD NOVO MUNDO;74715-350;GASOLINA ADITIVADA;06/07/2026;7,44;;R$ / litro;RAIZEN
CO;GO;GOIANIA;POSTO Z + Z T-9 LTDA; 03.077.437/0001-11;AVENIDA T 9;3296;QD 256 LT 12E;JARDIM AMERICA;74255-220;GASOLINA ADITIVADA;06/07/2026;7,15;;R$ / litro;BRANCA
CO;GO;GOIANIA;AUTO POSTO WALTER SANTOS; 05.258.846/0001-40;RUA 210;14;QD 75    LT 02-E;SETOR COIMBRA;74535-280;GASOLINA ADITIVADA;06/07/2026;7,34;;R$ / litro;RAIZEN
CO;GO;GOIANIA;POSTO JARDIM BOTANICO LTDA; 05.032.967/0001-79; ALD CONTORNO;1756;QD 52 LT 15E;JARDIM SANTO ANTONIO;74853-120;GASOLINA ADITIVADA;06/07/2026;7,09;;R$ / litro;IPIRANGA
CO;GO;GOIANIA;AUTO POSTO PADUA LTDA; 04.699.455/0001-06;AVENIDA ASSIS CHATEAUBRIAND,;1;QD.K6, LT.02/54;SETOR OESTE;74130-012;GASOLINA ADITIVADA;06/07/2026;7,34;;R$ / litro;VIBRA
CO;GO;GOIANIA;POSTO D-PETRUS SERRA LTDA; 04.159.164/0001-17;AVENIDA FUED JOSE SEBBA;1679;QUADRAA 22                LOTE  25;JARDIM GOIAS;74805-100;GASOLINA ADITIVADA;06/07/2026;7,34;;R$ / litro;RAIZEN
CO;GO;GOIANIA;AMF COMERCIAL DE DERIVADOS DE PETROLEO LTDA; 03.964.311/0001-69;AVENIDA T-2;2458;QD. 11, LT. 01,;SETOR BUENO;74215-010;GASOLINA ADITIVADA;06/07/2026;6,89;;R$ / litro;BRANCA
CO;GO;GOIANIA;POSTO Z + Z LARANJEIRAS LTDA; 03.311.068/0001-80;RUA BENJAMIM CONSTANT;750;;JARDIM DA LUZ;74850-350;GASOLINA ADITIVADA;06/07/2026;7,14;;R$ / litro;RAIZEN
CO;GO;GOIANIA;VW - COMERCIO DE COMBUSTIVEIS LTDA; 03.156.892/0001-02;AVENIDA RIO VERDE;1020;QUADRA06                  LOTE  19;PARQUE AMAZONIA;74840-150;GASOLINA ADITIVADA;06/07/2026;6,99;;R$ / litro;IPIRANGA
CO;GO;GOIANIA;POSTO Z+Z SAO BENTO LTDA; 01.653.393/0001-03;AVENIDA ANHANGUERA;2235;QUADRAA 2                 LOTE  1 E;SETOR LESTE UNIVERSITARIO;74610-010;GASOLINA ADITIVADA;06/07/2026;7,44;;R$ / litro;RAIZEN
CO;GO;GOIANIA;POSTO XODO LTDA; 01.595.271/0002-80;AVENIDA 85;2890;;ST BUENO;74223-010;GASOLINA ADITIVADA;06/07/2026;7,23;;R$ / litro;BRANCA
CO;GO;GOIANIA;POSTO XODO LTDA; 01.595.271/0001-08;AVENIDA ASSIS CHATEUBRIAND;439;;SETOR OESTE;74130-010;GASOLINA ADITIVADA;06/07/2026;6,83;;R$ / litro;BRANCA
CO;GO;GOIANIA;ATLANTA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.360.463/0001-27;PRACA FRANCISCO A DE OLIVEIRA;66;;PARQUE AMAZONIA;74465-539;GASOLINA ADITIVADA;06/07/2026;6,84;;R$ / litro;BRANCA
